地址,市场,方向,持仓量,均价,现价,现值($),成本($),盈亏($),盈亏%,到期日,Profile
0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165,Will the percentage change in the S&P 500 in Q1 2026 be less,Yes,0.69,0.6074,0.78,0.54,0.42,0.12,2842.3,2026-03-31,https://polymarket.com/profile/0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165
0xc18b10a8d864d1d2ef71a58259eb810d52173917,"Will S&P 500 (SPX) hit $7,600 (HIGH) in December?",Yes,1.53,0.49,0.34,0.52,0.75,-0.23,-3061.2,2026-12-31,https://polymarket.com/profile/0xc18b10a8d864d1d2ef71a58259eb810d52173917
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will Hang Seng (HSI) hit 19650 (LOW) in March?,Yes,16.14,0.04,0.027,0.44,0.65,-0.21,-3250,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0x6b2664ced83a571a7e92e03155b5e3881e0ccf9a,Will Affirm Holdings (AFRM) be added to the S&P 500 by March,Yes,19,0.08,0.021,0.4,1.52,-1.12,-7375,2026-03-31,https://polymarket.com/profile/0x6b2664ced83a571a7e92e03155b5e3881e0ccf9a
0x99bce72fb855cc8eebe6c85683ede46da1784f35,Will Affirm Holdings (AFRM) be added to the S&P 500 by March,No,0.41,0.494,0.979,0.4,0.2,0.2,9817.8,2026-03-31,https://polymarket.com/profile/0x99bce72fb855cc8eebe6c85683ede46da1784f35
0x22eace1285cab0b23f7252ba02f3643c4c965f43,Will Pure Storage (PSTG) be added to the S&P 500 by March 31,Yes,35.09,0.0677,0.011,0.39,2.38,-1.99,-8375.3,2026-03-31,https://polymarket.com/profile/0x22eace1285cab0b23f7252ba02f3643c4c965f43
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will S&P 500 (SPX) hit 4750 (LOW) in March?,Yes,8.22,0.1141,0.0435,0.36,0.94,-0.58,-6188,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0x85d57ae07c1c0cae93f1ed6d05166eff4233bbf0,Will the S&P 500 Index gain at least 2% on any day in Q1?,Yes,0.62,0.52,0.555,0.34,0.32,0.02,673.1,2026-03-31,https://polymarket.com/profile/0x85d57ae07c1c0cae93f1ed6d05166eff4233bbf0
0x99bce72fb855cc8eebe6c85683ede46da1784f35,Will the S&P 500 Index lose at least 4% on any day in Q1?,Yes,1.81,0.08,0.19,0.34,0.14,0.2,13750,2026-03-31,https://polymarket.com/profile/0x99bce72fb855cc8eebe6c85683ede46da1784f35
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will FTSE 100 (UKX) hit 7050 (LOW) in March?,Yes,22.7,0.0209,0.014,0.32,0.47,-0.16,-3300.2,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0x99bce72fb855cc8eebe6c85683ede46da1784f35,"Will S&P 500 (SPX) hit $7,300 (HIGH) in March 2026?",Yes,13.47,0.032,0.021,0.28,0.43,-0.15,-3438.9,2026-03-31,https://polymarket.com/profile/0x99bce72fb855cc8eebe6c85683ede46da1784f35
0xfdd1839bf9034f797dd7fe207197188717fe1829,"Will S&P 500 (SPX) hit $9,300 (HIGH) in December?",Yes,2.35,0.0405,0.12,0.28,0.1,0.19,19622.3,2026-12-31,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165,Will the percentage change in the S&P 500 in Q1 2026 be betw,Yes,19.85,0.007,0.0125,0.25,0.14,0.11,7857.1,2026-03-31,https://polymarket.com/profile/0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165
0x85d57ae07c1c0cae93f1ed6d05166eff4233bbf0,Will the S&P 500 Index lose at least 3% on any day in Q1?,Yes,0.68,0.3315,0.335,0.23,0.23,0,106.6,2026-03-31,https://polymarket.com/profile/0x85d57ae07c1c0cae93f1ed6d05166eff4233bbf0
0xcf006e28309313be21b36d22bde515882182353f,"Will S&P 500 (SPX) hit $6,300 (LOW) in March 2026?",No,0.27,0.705,0.755,0.21,0.19,0.01,708.5,2026-03-31,https://polymarket.com/profile/0xcf006e28309313be21b36d22bde515882182353f
0xeacd0d487d273f06b188e2899435f2517f498143,Will KOSPI Composite Index (^KS11) hit 4600 (LOW) in Q1 2026,Yes,0.62,0.11,0.33,0.2,0.07,0.14,20000,2026-03-31,https://polymarket.com/profile/0xeacd0d487d273f06b188e2899435f2517f498143
0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165,Will the percentage change in the S&P 500 in Q1 2026 be betw,No,0.21,0.716,0.8765,0.19,0.15,0.03,2241.6,2026-03-31,https://polymarket.com/profile/0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165
0xfdd1839bf9034f797dd7fe207197188717fe1829,"Will S&P 500 (SPX) close over 5,550 on Friday of the week of",No,39.56,0.0106,0.0045,0.18,0.42,-0.24,-5745.9,2026-03-20,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will FTSE 100 (UKX) hit 7500 (LOW) in March?,Yes,8.7,0.021,0.016,0.14,0.18,-0.04,-2381,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165,Will the percentage change in the S&P 500 in Q1 2026 be betw,Yes,11.45,0.0044,0.01,0.11,0.05,0.06,12588.7,2026-03-31,https://polymarket.com/profile/0xd035fd5f4d6bec4a73dc2fc11fe35c13c3acf165
